Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
11,Normal/Others,WS/MP18152/2024-2025/133701-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Bajakhana Main,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/133701,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,False
12,Normal/Others,WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133693,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,False
13,Normal/Others,WS/MP18152/2024-2025/133703-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhudi,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/133703,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Dhudi,False
14,Normal/Others,WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133688,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,False
15,Normal/Others,WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Gondara,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133687,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Gondara,False
16,Normal/Others,WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST),Shri NK Premachandran,KOLLAM,Images,06-Dec-2024,2429637.89,WS/MP345/2024-2025/134123,Normal/Others,2429637.89,2024-12-06,KERALA,KOLLAM,SHRI NK PREMACHANDRAN,Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST),True
17,Normal/Others,"WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the Godhan Raju ahead of the house.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,08-Oct-2024,256280.75,WS/MP18278/2024-2025/134671,Normal/Others,256280.75,2024-10-08,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- From the Godhan Raju ahead of the house.,True
18,Normal/Others,"WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Amit Sahu ahead of the house.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,06-Dec-2024,768842.26,WS/MP18278/2024-2025/134668,Normal/Others,768842.26,2024-12-06,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- Amit Sahu ahead of the house.,True
19,Normal/Others,WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,Pralhad Venkatesh Joshi,DHARWAD,Images,09-Jun-2025,255302.27,WS/MP620/2024-2025/133312,Normal/Others,255302.27,2025-06-09,KARNATAKA,DHARWAD,PRALHAD VENKATESH JOSHI,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,True
20,Normal/Others,WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Pralhad Venkatesh Joshi,DHARWAD,Images,14-Oct-2024,254837.89,WS/MP620/2024-2025/133166,Normal/Others,254837.89,2024-10-14,KARNATAKA,DHARWAD,PRALHAD VENKATESH JOSHI,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,True
21,Normal/Others,WS/MP672/2024-2025/136731-Lighting of public spaces,Maharashtra,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",Nitin Jairam Gadkari,NAGPUR,Images,23-Aug-2024,493860.18,WS/MP672/2024-2025/136731,Normal/Others,493860.18,2024-08-23,MAHARASHTRA,NAGPUR,NITIN JAIRAM GADKARI,"Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur",True
22,Normal/Others,WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of common sitting area (Chaburta),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,12-Feb-2025,153768.45,WS/MP18278/2024-2025/134638,Normal/Others,153768.45,2025-02-12,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,Construction of common sitting area (Chaburta),True
23,Normal/Others,"WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- Ahead from the main road towards the canal.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,12-Feb-2025,512561.5,WS/MP18278/2024-2025/134644,Normal/Others,512561.5,2025-02-12,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- Ahead from the main road towards the canal.,True
24,Normal/Others,"WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),CC Road- From the road towards the Colony,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,25-Nov-2024,512330.85,WS/MP18278/2024-2025/134646,Normal/Others,512330.85,2024-11-25,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- From the road towards the Colony,True
25,Normal/Others,"WS/MP18278/2024-2025/134674-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- Community Building to Patharri pond (Taalab).,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,27-Nov-2024,511536.38,WS/MP18278/2024-2025/134674,Normal/Others,511536.38,2024-11-27,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- Community Building to Patharri pond (Taalab).,True
26,Normal/Others,WS/MP492/2024-2025/134984-Lighting of public spaces,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),Images,25-Nov-2024,19430181.47,WS/MP492/2024-2025/134984,Normal/Others,19430181.47,2024-11-25,UTTAR PRADESH,SHAHJAHANPUR(SC),SHRI ARUN KUMAR SAGAR,Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List,True
27,Normal/Others,WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),,25-Nov-2024,5074358.88,WS/MP492/2024-2025/134981,Normal/Others,5074358.88,2024-11-25,UTTAR PRADESH,SHAHJAHANPUR(SC),SHRI ARUN KUMAR SAGAR,15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,False
28,Normal/Others,WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153225.14,WS/MP18152/2024-2025/133697,Normal/Others,153225.14,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,False
29,Normal/Others,"WS/MP347/2024-2025/138112-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)",Shri Suresh Kodikunnil,MAVELIKKARA(SC),Images,09-Sep-2024,643074.01,WS/MP347/2024-2025/138112,Normal/Others,643074.01,2024-09-09,KERALA,MAVELIKKARA(SC),SHRI SURESH KODIKUNNIL,"Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)",True
30,Normal/Others,"WS/MP18278/2024-2025/134672-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From the high school towards the Fair Ground,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,17-Oct-2024,508210.37,WS/MP18278/2024-2025/134672,Normal/Others,508210.37,2024-10-17,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- From the high school towards the Fair Ground,True
31,Normal/Others,WS/MP691/2024-2025/140096-Fitting of Sitting RCC Benches in Public Places,Maharashtra,JALGAON(DISTRICT COLLECTOR JALGAON_IDA),Mauje Bodwad Bodwad District  Seating Arrangment at various places for inner city citizens in Jalgaon.,Smt Raksha Nikhil Khadse,RAVER,Images,11-Sep-2024,1524725.93,WS/MP691/2024-2025/140096,Normal/Others,1524725.93,2024-09-11,MAHARASHTRA,RAVER,SMT RAKSHA NIKHIL KHADSE,Mauje Bodwad Bodwad District  Seating Arrangment at various places for inner city citizens in Jalgaon.,True
32,Normal/Others,WS/MP18278/2024-2025/134649-Construction of culverts and bridges,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of culverts and bridges- Between Singhra and Chhote Kot,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,05-Mar-2025,511982.82,WS/MP18278/2024-2025/134649,Normal/Others,511982.82,2025-03-05,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,Construction of culverts and bridges- Between Singhra and Chhote Kot,True
33,Normal/Others,WS/MP18328/2024-2025/138242-Lighting of public spaces,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",Kangana Ranaut,MANDI,,16-Jun-2025,7588.47,WS/MP18328/2024-2025/138242,Normal/Others,7588.47,2025-06-16,HIMACHAL PRADESH,MANDI,KANGANA RANAUT,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",False
34,Normal/Others,WS/MP18328/2024-2025/138243-Lighting of public spaces,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",Kangana Ranaut,MANDI,,16-Jun-2025,7588.47,WS/MP18328/2024-2025/138243,Normal/Others,7588.47,2025-06-16,HIMACHAL PRADESH,MANDI,KANGANA RANAUT,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",False
35,Normal/Others,WS/MP18328/2024-2025/138244-Lighting of public spaces,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",Kangana Ranaut,MANDI,,16-Jun-2025,7588.47,WS/MP18328/2024-2025/138244,Normal/Others,7588.47,2025-06-16,HIMACHAL PRADESH,MANDI,KANGANA RANAUT,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",False
36,Normal/Others,WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Cycle Shed in Govt Primary school Lambwali,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,101130.43,WS/MP18152/2024-2025/133695,Normal/Others,101130.43,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of Cycle Shed in Govt Primary school Lambwali,False
37,Normal/Others,WS/MP18152/2024-2025/133699-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/133699,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,False
38,Normal/Others,WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Okandwala,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153335.34,WS/MP18152/2024-2025/133692,Normal/Others,153335.34,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Okandwala,False
39,Normal/Others,"WS/MP777/2024-2025/136655-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,510110.95,WS/MP777/2024-2025/136655,Normal/Others,510110.95,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter",True
40,Normal/Others,WS/MP18152/2024-2025/137630-Purchase of mobile water tankers,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of Steel mobile water tanker,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,102512.3,WS/MP18152/2024-2025/137630,Normal/Others,102512.3,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Purchase of Steel mobile water tanker,False
41,Normal/Others,WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153335.34,WS/MP18152/2024-2025/137631,Normal/Others,153335.34,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,False
42,Normal/Others,WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt Primary school Dana romana,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153335.34,WS/MP18152/2024-2025/137637,Normal/Others,153335.34,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of mid-day meal Shed in Govt Primary school Dana romana,False
43,Normal/Others,WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of Midday meal Shed in Govt Primary school Dod Main,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153335.34,WS/MP18152/2024-2025/137640,Normal/Others,153335.34,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of Midday meal Shed in Govt Primary school Dod Main,False
44,Normal/Others,WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of mid-day meal Shed in Govt primary School,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153335.34,WS/MP18152/2024-2025/137641,Normal/Others,153335.34,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of mid-day meal Shed in Govt primary School,False
45,Normal/Others,WS/MP18152/2024-2025/137633-Purchase of mobile water tankers,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Purchase of mobile Steel water tanker in GP Mai Godri Sahib,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,102512.3,WS/MP18152/2024-2025/137633,Normal/Others,102512.3,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Purchase of mobile Steel water tanker in GP Mai Godri Sahib,False
46,Normal/Others,WS/MP18152/2024-2025/137635-Street lights,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of Fixed Street Lights,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,102512.3,WS/MP18152/2024-2025/137635,Normal/Others,102512.3,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of Fixed Street Lights,False
47,Normal/Others,"WS/MP777/2024-2025/136656-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,510022.27,WS/MP777/2024-2025/136656,Normal/Others,510022.27,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter",True
48,Normal/Others,"WS/MP777/2024-2025/135874-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511046.88,WS/MP777/2024-2025/135874,Normal/Others,511046.88,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter",True
49,Normal/Others,"WS/MP777/2024-2025/135877-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511554.32,WS/MP777/2024-2025/135877,Normal/Others,511554.32,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter",True
